Data,Countries,Local,Industry Sector,Accident Level,Potential Accident Level,Genre,Employee ou Terceiro,Risco Critico
21/09/2016 00:00,Country_02,Local_05,Metals,II,III,Male,Third Party,Manual Tools
22/09/2016 00:00,Country_01,Local_01,Mining,I,IV,Male,Employee,Others
22/09/2016 00:00,Country_01,Local_06,Metals,I,III,Male,Employee,Others
27/09/2016 00:00,Country_01,Local_06,Metals,I,II,Female,Third Party,Pressurized Systems
29/09/2016 00:00,Country_01,Local_04,Mining,I,II,Male,Third Party,Others
30/09/2016 00:00,Country_01,Local_04,Mining,I,I,Male,Employee,Others
01/10/2016 00:00,Country_01,Local_04,Mining,II,III,Male,Third Party,Others
03/10/2016 00:00,Country_01,Local_04,Mining,I,II,Male,Third Party,Others
03/10/2016 00:00,Country_02,Local_05,Metals,I,III,Male,Employee,Pressed
03/10/2016 00:00,Country_02,Local_08,Metals,I,II,Male,Employee,Pressed
03/10/2016 00:00,Country_01,Local_03,Mining,I,IV,Male,Third Party,Others
04/10/2016 00:00,Country_03,Local_10,Others,III,III,Male,Employee,Others
08/10/2016 00:00,Country_01,Local_04,Mining,II,II,Male,Third Party,Others
10/10/2016 00:00,Country_01,Local_03,Mining,I,IV,Male,Third Party (Remote),Others
10/10/2016 00:00,Country_01,Local_04,Mining,III,IV,Male,Employee,Others
11/10/2016 00:00,Country_02,Local_05,Metals,I,III,Male,Employee,Chemical substances
13/10/2016 00:00,Country_02,Local_02,Mining,II,II,Male,Third Party (Remote),Others
13/10/2016 00:00,Country_01,Local_03,Mining,III,IV,Male,Employee,Others
18/10/2016 00:00,Country_01,Local_03,Mining,IV,IV,Male,Third Party,Others
18/10/2016 00:00,Country_01,Local_03,Mining,I,IV,Male,Third Party,Others
20/10/2016 00:00,Country_02,Local_05,Metals,I,III,Male,Employee,Pressurized Systems
23/10/2016 00:00,Country_02,Local_02,Mining,II,IV,Male,Employee,Others
24/10/2016 00:00,Country_01,Local_01,Mining,I,IV,Male,Third Party,Others
26/10/2016 00:00,Country_01,Local_01,Mining,III,IV,Male,Employee,Others
27/10/2016 00:00,Country_01,Local_03,Mining,I,IV,Male,Employee,Others
29/10/2016 00:00,Country_01,Local_03,Mining,I,IV,Male,Employee,Others
29/10/2016 00:00,Country_02,Local_08,Metals,IV,IV,Male,Employee,Pressed
04/11/2016 00:00,Country_01,Local_03,Mining,IV,V,Male,Employee,Others
08/11/2016 00:00,Country_01,Local_04,Mining,I,IV,Male,Employee,Others
08/11/2016 00:00,Country_02,Local_08,Metals,I,II,Male,Employee,Others
11/11/2016 00:00,Country_01,Local_06,Metals,IV,IV,Male,Employee,Others
13/11/2016 00:00,Country_01,Local_06,Metals,I,II,Male,Employee,Plates
19/11/2016 00:00,Country_01,Local_04,Mining,III,IV,Male,Third Party,Others
21/11/2016 00:00,Country_03,Local_10,Others,I,I,Male,Third Party,Others
23/11/2016 00:00,Country_01,Local_06,Metals,I,IV,Male,Employee,Others
23/11/2016 00:00,Country_01,Local_04,Mining,I,II,Male,Employee,Others
25/11/2016 00:00,Country_02,Local_07,Mining,I,II,Male,Employee,Others
28/11/2016 00:00,Country_01,Local_03,Mining,I,I,Male,Third Party,Others
29/11/2016 00:00,Country_02,Local_08,Metals,II,III,Male,Employee,Others
30/11/2016 00:00,Country_01,Local_03,Mining,I,II,Male,Third Party,Others
01/12/2016 00:00,Country_01,Local_03,Mining,I,IV,Male,Employee,Others
01/12/2016 00:00,Country_01,Local_03,Mining,I,IV,Male,Employee,Others
01/12/2016 00:00,Country_01,Local_03,Mining,I,IV,Male,Third Party,Others
08/12/2016 00:00,Country_01,Local_01,Mining,I,IV,Male,Employee,Suspended Loads
08/12/2016 00:00,Country_01,Local_01,Mining,I,III,Male,Third Party (Remote),Others
09/12/2016 00:00,Country_02,Local_02,Mining,II,III,Male,Third Party (Remote),Others
10/12/2016 00:00,Country_01,Local_04,Mining,I,II,Male,Third Party,Others
12/12/2016 00:00,Country_02,Local_08,Metals,I,II,Male,Employee,Others
13/12/2016 00:00,Country_02,Local_02,Mining,I,II,Male,Third Party (Remote),Others
12/12/2016 00:00,Country_01,Local_04,Mining,III,III,Male,Employee,Others
12/12/2016 00:00,Country_02,Local_05,Metals,I,II,Male,Third Party (Remote),Others
13/12/2016 00:00,Country_01,Local_06,Metals,I,II,Male,Third Party,Others
15/12/2016 00:00,Country_02,Local_05,Metals,I,III,Male,Employee,Others
15/12/2016 00:00,Country_01,Local_03,Mining,III,IV,Male,Third Party,Others
16/12/2016 00:00,Country_02,Local_08,Metals,I,II,Female,Third Party,Others
19/12/2016 00:00,Country_01,Local_04,Mining,I,III,Male,Employee,Others
23/12/2016 00:00,Country_01,Local_04,Mining,II,IV,Male,Third Party,Others
22/12/2016 00:00,Country_02,Local_05,Metals,I,II,Male,Third Party,Others
22/12/2016 00:00,Country_01,Local_01,Mining,I,IV,Male,Third Party,Others
23/12/2016 00:00,Country_01,Local_03,Mining,I,III,Male,Third Party,Others
26/12/2016 00:00,Country_01,Local_06,Metals,I,II,Male,Employee,Others
